UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1.69E+09,6/1/2023 23:55,23:55:26,1.21,16.68,2.04,11.6,94.89,96.14,6:13:00,18:13:00
1.69E+09,6/1/2023 23:50,23:50:23,1.21,16.95,1.74,11.41,94.91,96.15,6:13:00,18:13:00
1.69E+09,6/1/2023 23:45,23:45:26,1.23,17.41,1.48,11.23,94.96,96.21,6:13:00,18:13:00
1.69E+09,6/1/2023 23:40,23:40:21,1.21,18.01,1.56,11.11,95.03,96.28,6:13:00,18:13:00
1.69E+09,6/1/2023 23:35,23:35:24,1.17,18.62,2.02,11.11,95.09,96.33,6:13:00,18:13:00
1.69E+09,6/1/2023 23:30,23:30:24,1.21,19.1,2.49,11.11,95.12,96.35,6:13:00,18:13:00
1.69E+09,6/1/2023 23:25,23:25:19,1.2,19.53,2.86,11.17,95.13,96.37,6:13:00,18:13:00
1.69E+09,6/1/2023 23:20,23:20:22,1.24,19.83,3.06,11.35,95.13,96.37,6:13:00,18:13:00
1.69E+09,6/1/2023 23:15,23:15:22,1.23,20.1,3.17,11.41,95.11,96.35,6:13:00,18:13:00
1.69E+09,6/1/2023 23:10,23:10:22,1.21,20.3,3.41,11.35,95.1,96.33,6:13:00,18:13:00
1.69E+09,6/1/2023 23:05,23:05:23,1.23,20.48,3.71,11.35,95.08,96.31,6:13:00,18:13:00
1.69E+09,6/1/2023 23:00,23:00:25,1.21,20.62,3.88,11.29,95.07,96.3,6:13:00,18:13:00
1.69E+09,6/1/2023 22:55,22:55:20,1.22,20.62,3.63,11.23,95.05,96.28,6:13:00,18:13:00
1.69E+09,6/1/2023 22:50,22:50:19,1.21,19.89,2.8,11.96,95.04,96.28,6:13:00,18:13:00
1.69E+09,6/1/2023 22:45,22:45:31,1.23,18.54,2.94,12.08,95.05,96.29,6:13:00,18:13:00
1.69E+09,6/1/2023 22:40,22:40:23,1.22,17.94,3.84,11.6,95.08,96.33,6:13:00,18:13:00
1.69E+09,6/1/2023 22:35,22:35:19,1.21,17.43,4.48,11.17,95.1,96.35,6:13:00,18:13:00
1.69E+09,6/1/2023 22:30,22:30:22,1.22,16.91,4.62,10.93,95.09,96.34,6:13:00,18:13:00
1.69E+09,6/1/2023 22:25,22:25:19,1.22,16.48,4.37,10.74,95.06,96.31,6:13:00,18:13:00
1.69E+09,6/1/2023 22:20,22:20:22,1.2,16.1,3.91,10.62,95.02,96.27,6:13:00,18:13:00
1.69E+09,6/1/2023 22:15,22:15:22,1.2,15.74,3.51,10.44,94.97,96.22,6:13:00,18:13:00
1.69E+09,6/1/2023 22:10,22:10:21,1.2,15.5,3.24,10.25,94.92,96.17,6:13:00,18:13:00
1.69E+09,6/1/2023 22:05,22:05:20,1.21,15.4,3.03,10.07,94.88,96.13,6:13:00,18:13:00
1.69E+09,6/1/2023 22:00,22:00:26,1.22,15.37,2.85,9.89,94.86,96.12,6:13:00,18:13:00
1.69E+09,6/2/2023 21:55,21:55:20,1.22,15.88,2.77,10.13,94.86,96.11,6:13:00,18:13:00
1.69E+09,6/2/2023 21:50,21:50:32,1.22,19.15,2.27,10.38,94.88,96.12,6:13:00,18:13:00
1.69E+09,6/2/2023 21:45,21:45:28,1.24,22.56,1.32,10.07,94.9,96.12,6:13:00,18:13:00
1.69E+09,6/2/2023 21:40,21:40:20,1.23,26.02,1.64,9.95,94.91,96.12,6:13:00,18:13:00
1.69E+09,6/2/2023 21:35,21:35:21,1.23,28.22,2.56,9.77,94.92,96.11,6:13:00,18:13:00
1.69E+09,6/2/2023 21:30,21:30:21,1.23,29.83,3.04,9.58,94.9,96.09,6:13:00,18:13:00
1.69E+09,6/2/2023 21:25,21:25:22,1.24,31.2,3.4,9.46,94.87,96.06,6:13:00,18:13:00
1.69E+09,6/2/2023 21:20,21:20:21,1.2,32.2,3.85,9.46,94.81,95.99,6:13:00,18:13:00
1.69E+09,6/2/2023 21:15,21:15:23,1.24,32.76,4.21,9.34,94.74,95.92,6:13:00,18:13:00
1.69E+09,6/2/2023 21:10,21:10:20,1.21,33.01,4.34,9.4,94.68,95.85,6:13:00,18:13:00
1.69E+09,6/2/2023 21:05,21:05:26,1.24,32.87,4.34,9.4,94.64,95.81,6:13:00,18:13:00
1.69E+09,6/2/2023 21:00,21:00:20,1.2,32.26,4.23,9.46,94.6,95.78,6:13:00,18:13:00
1.69E+09,6/2/2023 20:55,20:55:18,1.19,30.97,4.16,9.89,94.59,95.78,6:13:00,18:13:00
1.69E+09,6/2/2023 20:50,20:50:20,1.25,28.07,4.08,12.7,94.62,95.82,6:13:00,18:13:00
1.69E+09,6/2/2023 20:45,20:45:24,1.25,25.01,3.85,13.06,94.67,95.88,6:13:00,18:13:00
